Comparison,Metric Δ,Estimate,95% CI
Ensemble - CNN,ΔAccuracy,0.1488,"[0.1323, 0.1658]"
Ensemble - CNN,ΔF1 (weighted),0.1611,"[0.1438, 0.1793]"
Ensemble - CNN,"ΔAUC (macro, OvR)",0.0564,"[0.0484, 0.0646]"
Ensemble - ResNet-50,ΔAccuracy,0.2536,"[0.2327, 0.2746]"
Ensemble - ResNet-50,ΔF1 (weighted),0.2232,"[0.2053, 0.2419]"
Ensemble - ResNet-50,"ΔAUC (macro, OvR)",0.0632,"[0.0555, 0.0724]"
Ensemble - DenseNet-121,ΔAccuracy,0.0599,"[0.0484, 0.0719]"
Ensemble - DenseNet-121,ΔF1 (weighted),0.0632,"[0.0508, 0.0767]"
Ensemble - DenseNet-121,"ΔAUC (macro, OvR)",0.0165,"[0.0126, 0.0213]"
Ensemble - EfficientNet-B3,ΔAccuracy,0.0389,"[0.0290, 0.0494]"
Ensemble - EfficientNet-B3,ΔF1 (weighted),0.0390,"[0.0284, 0.0503]"
Ensemble - EfficientNet-B3,"ΔAUC (macro, OvR)",0.0133,"[0.0103, 0.0166]"
Ensemble - ConvNeXt-Tiny,ΔAccuracy,0.0260,"[0.0150, 0.0364]"
Ensemble - ConvNeXt-Tiny,ΔF1 (weighted),0.0250,"[0.0137, 0.0355]"
Ensemble - ConvNeXt-Tiny,"ΔAUC (macro, OvR)",0.0069,"[0.0038, 0.0110]"
Ensemble - MobileNetV3-L,ΔAccuracy,0.0799,"[0.0669, 0.0934]"
Ensemble - MobileNetV3-L,ΔF1 (weighted),0.0823,"[0.0696, 0.0965]"
Ensemble - MobileNetV3-L,"ΔAUC (macro, OvR)",0.0231,"[0.0190, 0.0280]"
Ensemble - ViT,ΔAccuracy,-0.0205,"[-0.0320, -0.0090]"
Ensemble - ViT,ΔF1 (weighted),-0.0211,"[-0.0327, -0.0092]"
Ensemble - ViT,"ΔAUC (macro, OvR)",-0.0008,"[-0.0029, 0.0020]"
