Comparison,Metric Δ,Estimate,95% CI
Ensemble - cnn,ΔAccuracy,0.1464,"[0.1318, 0.1623]"
Ensemble - cnn,ΔF1 (weighted),0.1578,"[0.1411, 0.1755]"
Ensemble - cnn,"ΔAUC (macro, OvR)",0.0400,"[0.0337, 0.0468]"
Ensemble - resnet50,ΔAccuracy,0.3032,"[0.2816, 0.3240]"
Ensemble - resnet50,ΔF1 (weighted),0.2722,"[0.2543, 0.2902]"
Ensemble - resnet50,"ΔAUC (macro, OvR)",0.0690,"[0.0612, 0.0778]"
Ensemble - densenet121,ΔAccuracy,0.0225,"[0.0145, 0.0310]"
Ensemble - densenet121,ΔF1 (weighted),0.0228,"[0.0145, 0.0310]"
Ensemble - densenet121,"ΔAUC (macro, OvR)",0.0035,"[0.0017, 0.0055]"
Ensemble - efficientnet_b3,ΔAccuracy,0.0159,"[0.0085, 0.0240]"
Ensemble - efficientnet_b3,ΔF1 (weighted),0.0157,"[0.0074, 0.0240]"
Ensemble - efficientnet_b3,"ΔAUC (macro, OvR)",0.0032,"[0.0019, 0.0048]"
Ensemble - convnext_tiny,ΔAccuracy,0.1535,"[0.1373, 0.1707]"
Ensemble - convnext_tiny,ΔF1 (weighted),0.1882,"[0.1690, 0.2095]"
Ensemble - convnext_tiny,"ΔAUC (macro, OvR)",0.0335,"[0.0272, 0.0412]"
Ensemble - mobilenet_v3,ΔAccuracy,0.0309,"[0.0225, 0.0399]"
Ensemble - mobilenet_v3,ΔF1 (weighted),0.0311,"[0.0231, 0.0405]"
Ensemble - mobilenet_v3,"ΔAUC (macro, OvR)",0.0056,"[0.0038, 0.0075]"
Ensemble - vit,ΔAccuracy,0.0033,"[-0.0060, 0.0120]"
Ensemble - vit,ΔF1 (weighted),0.0030,"[-0.0062, 0.0120]"
Ensemble - vit,"ΔAUC (macro, OvR)",0.0034,"[0.0014, 0.0058]"
